Year,forest_coverage,co2_emission
1990,16.7380076159029,2.15157090606377
1991,16.9495475727638,2.22943963920124
1992,17.1610875296248,2.30946367545945
1993,17.3726274864858,2.44280065934625
1994,17.584167443346697,2.5659938917719303
1995,17.795726355525602,2.7557549663652496
1996,18.007285718394197,2.84430958153669
1997,18.2188261259045,2.82056789057578
1998,18.4303665334147,2.67674598026467
1999,18.641906940925,2.64864924664833
2000,18.8534674304607,2.6968624332254905
2001,19.195256537713,2.74212081298895
2002,19.5370360783882,3.0070831974382997
2003,19.8788146331623,3.52407409267308
2004,20.220592578193102,4.03799065100399
2005,20.562371632902398,4.52317806354125
2006,20.7235618916719,4.9803141965797595
2007,20.8847526090914,5.334909929166809
2008,21.0459420020692,5.701915024666799
2009,21.2071309432649,6.01010243303337
2010,21.368320332808896,6.56052000702696
2011,21.532590181451997,7.24151541889549
2012,21.696860030095202,7.4247509163800895
2013,21.8611298787383,7.55721104480691
2014,22.0253997273815,7.543907641449269
