id,temperature
1898,8.178
1899,8.396333333
1900,8.501583333
1901,8.541916667
1902,8.304416667
1903,8.220166667
1904,8.090916667
1905,8.225166667
1906,8.379083333
1907,7.947166667
1908,8.186083333
1909,8.17825
1910,8.223
1911,8.177
1912,8.165416667
1913,8.29775
1914,8.5905
1915,8.593166667
1916,8.22525
1917,8.023333333
1918,8.130833333
1919,8.38225
1920,8.35875
1921,8.571
1922,8.408
1923,8.422166667
1924,8.506833333
1925,8.534416667
1926,8.728833333
1927,8.522083333
1928,8.632166667
1929,8.242416667
1930,8.633583333
1931,8.71925
1932,8.70525
1933,8.33825
1934,8.628333333
1935,8.51575
1936,8.554
1937,8.698333333
1938,8.863666667
1939,8.760333333
1940,8.764666667
1941,8.768666667
1942,8.728416667
1943,8.755083333
1944,8.845
1945,8.584833333
1946,8.676916667
1947,8.797083333
1948,8.74675
1949,8.58675
1950,8.36525
1951,8.625666667
1952,8.63825
1953,8.87375
1954,8.560666667
1955,8.62625
1956,8.279583333
1957,8.7325
1958,8.77375
1959,8.732666667
1960,8.58375
1961,8.797666667
1962,8.745916667
1963,8.856
1964,8.409666667
1965,8.527416667
1966,8.599333333
1967,8.700083333
1968,8.516333333
1969,8.595083333
1970,8.700916667
1971,8.59925
1972,8.499583333
1973,8.94825
1974,8.4675
1975,8.744833333
1976,8.34725
1977,8.85025
1978,8.69275
1979,8.733416667
1980,8.980333333
1981,9.165833333
1982,8.639166667
1983,9.028166667
1984,8.691833333
1985,8.658
1986,8.833583333
1987,8.994416667
1988,9.201583333
1989,8.922
1990,9.234166667
1991,9.179416667
1992,8.836583333
1993,8.866583333
1994,9.03875
1995,9.347083333
1996,9.038916667
1997,9.202583333
1998,9.522666667
1999,9.285083333
2000,9.201166667
2001,9.414583333
2002,9.570416667
2003,9.525583333
2004,9.324583333
2005,9.700916667
2006,9.5325
2007,9.732166667
2008,9.43175
2009,9.50525
2010,9.703083333
2011,9.516
2012,9.507333333
2013,9.6065
2014,9.570666667
2015,9.831
